CSA,indicator,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,20_1
Cedonia/Frankford,banks,,0.254701,0.127351,0.127351,0.127351,0.169801,0.169801,0.169801,0.169801,0.127351,,
Cedonia/Frankford,biz1_,9.389671,10.55409,9.82801,6.873614,8.98618,6.504065,2.686567,5.333333,4.491018,6.271777,,
Cedonia/Frankford,biz2_,22.300469,17.6781,21.130221,19.068736,17.0507,15.176152,12.238806,18.666667,14.670659,11.149826,,
Cedonia/Frankford,biz4_,36.150235,33.509235,35.626536,39.467849,41.2442,30.0,25.373134,31.0,21.257485,20.557491,,
Cedonia/Frankford,bkln,,,2.17014,,,,,,,,3.41584,
Cedonia/Frankford,busload,,,,,,,,307.934,382.515,,,
Cedonia/Frankford,clogged,2.504563,5.56098,3.056416,3.65072,1.78291,1.78291,1.613109,2.844165,2.674364,3.141317,3.353568,
Cedonia/Frankford,cmos,,6.0,,,2.0,,,,,,,
Cedonia/Frankford,comprop,231.0,231.0,231.0,231.0,231.0,231.0,234.0,234.0,234.0,235.0,,
Cedonia/Frankford,crehab,7.792208,9.52381,6.926407,7.792208,12.987013,8.225108,8.119658,13.675214,12.820513,12.340426,,
Cedonia/Frankford,dirtyst,22.49862,24.154179,24.32398,17.786645,17.786645,23.984378,18.253598,19.060152,13.456722,24.621132,17.786645,
Cedonia/Frankford,elheat,,17.130168,18.055705,18.094731,20.5136,21.697618,21.390892,20.708061,19.461471,19.511401,,
Cedonia/Frankford,hcvhouse,,,,,132.003224,139.485435,141.525424,145.924628,148.148148,158.19209,,
Cedonia/Frankford,heatgas,,75.11896,73.373481,74.018095,72.0335,71.041863,71.417806,73.224401,74.113398,74.625407,,
Cedonia/Frankford,hfai,,,12.333333,,,8.956522,,,,,,
Cedonia/Frankford,kra,,,,,,,43.430657,31.205674,,,,
Cedonia/Frankford,nohhint,,,,,,,,21.27451,17.699212,16.438654,,
Cedonia/Frankford,novhcl,,21.634768,25.17475,27.205961,25.8595,24.645892,24.372914,22.712418,21.409807,21.824104,,
Cedonia/Frankford,numbus,426.0,379.0,407.0,451.0,434.0,369.0,335.0,300.0,334.0,287.0,,
Cedonia/Frankford,palg1,,,,,,6.13497,10.0,9.12281,,,,
Cedonia/Frankford,palg2,,,,,,0.70423,4.94505,6.15385,,,,
Cedonia/Frankford,pmath3,,,,,,15.1394,19.0813,17.0139,,,,
Cedonia/Frankford,pmath5,,,,,,12.5541,13.6986,10.7807,,,,
Cedonia/Frankford,pmath8,,,,,,2.55102,10.6383,8.04598,,,,
Cedonia/Frankford,prbprl,,,,5.121142,,,,,,,,
Cedonia/Frankford,pread3,,,,,,16.2698,11.9298,11.7438,,,,
Cedonia/Frankford,pread5,,,,,,11.6883,11.4155,18.6916,,,,
Cedonia/Frankford,pread8,,,,,,10.6977,16.6667,18.6916,,,,
Cedonia/Frankford,pubtran,,16.327446,17.214353,17.735777,17.884,17.0,17.591833,16.815174,15.393591,14.879167,,
Cedonia/Frankford,regvote,73.893979,,78.509191,,78.683456,,83.349264,,85.479791,,,
Cedonia/Frankford,smlbus,414.0,368.0,397.0,439.0,413.0,348.0,317.0,285.0,314.0,268.0,,
Cedonia/Frankford,trees,,29.025976,,,,,,29.913604,,,,
Cedonia/Frankford,voted,46.6,,56.192029,,37.429449,,51.211423,,44.896751,,,
Cedonia/Frankford,walked,,1.9098,1.680831,1.298205,0.950678,0.672727,0.574241,0.961623,1.113006,1.772799,,
Cedonia/Frankford,wlksc,,57.393939,,,,,,62.202,,,,
Cherry Hill,CSA2010,,,,,,,,,,,,Cherry Hill
Cherry Hill,arrest,,,,,76.981418,28.63102,20.970495,,,,,
Cherry Hill,banks,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Cherry Hill,biz1_,3.409091,9.42029,5.0,3.10559,8.33333,9.271523,5.223881,8.823529,5.970149,8.730159,,
Cherry Hill,biz2_,5.681818,18.84058,16.0,19.254658,11.8056,18.543046,15.671642,27.205882,14.925373,15.079365,,
Cherry Hill,biz4_,14.772727,26.811594,21.0,36.645963,36.8056,34.0,23.880597,34.558824,25.373134,21.428571,,
Cherry Hill,bkln,,,2.763018,,,,,,,,4.108247,
Cherry Hill,busload,,,,,,,,541.819,611.214,,,
Cherry Hill,clogged,1.219215,3.657644,2.926116,4.754938,0.85345,0.731529,2.43843,4.511095,2.43843,2.682273,8.168739,
Cherry Hill,cmos,,0.0,,,1.0,,,,,,,
Cherry Hill,comprop,91.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,,
Cherry Hill,crehab,29.67033,38.709677,23.655914,11.827957,7.526882,10.752688,16.129032,9.677419,15.053763,15.053763,,
Cherry Hill,dirtyst,11.704462,12.679834,7.193367,7.193367,8.168739,9.387954,8.046818,13.533285,8.046818,13.289442,13.777128,
Cherry Hill,elheat,,30.676329,30.137807,27.023737,31.277,30.902111,31.895425,32.78907,33.22314,31.099373,,
Cherry Hill,hcvhouse,,,,,99.642857,94.748439,89.467724,80.311891,68.163909,70.327934,,
Cherry Hill,heatgas,,63.375604,63.780707,67.559343,63.2017,63.787588,64.313725,62.712429,61.950413,64.575768,,
Cherry Hill,hfai,,,8.785714,,,7.875,,,,,,
Cherry Hill,kra,,,,,,,49.668874,36.585366,,,,
Cherry Hill,nohhint,,,,,,,,38.587138,33.818182,29.613734,,
Cherry Hill,novhcl,,55.525362,51.018574,52.525867,51.8199,50.607806,51.405229,52.082639,52.628099,53.945196,,
Cherry Hill,numbus,88.0,138.0,100.0,161.0,144.0,151.0,134.0,136.0,134.0,126.0,,
Cherry Hill,palg1,,,,,,7.46269,6.03448,1.0,,,,
Cherry Hill,palg2,,,,,,0.0,0.0,3.92157,,,,
Cherry Hill,pmath3,,,,,,10.6918,6.58683,10.828,,,,
Cherry Hill,pmath5,,,,,,0.61728,4.0,3.57143,,,,
Cherry Hill,pmath8,,,,,,2.45902,0.98039,1.05263,,,,
Cherry Hill,prbprl,,,,7.546454,,,,,,,,
Cherry Hill,pread3,,,,,,13.2075,3.01205,6.32911,,,,
Cherry Hill,pread5,,,,,,0.61728,3.3557,3.84615,,,,
Cherry Hill,pread8,,,,,,7.03125,5.76923,3.84615,,,,
Cherry Hill,pubtran,,36.604478,37.321429,34.695367,31.2287,28.997955,25.999176,26.192434,32.5,29.778507,,
Cherry Hill,regvote,82.480091,,82.309443,,81.85438,,84.907091,,84.565794,,,
Cherry Hill,smlbus,84.0,132.0,95.0,150.0,134.0,136.0,124.0,125.0,122.0,111.0,,
Cherry Hill,trees,,18.931031,,,,,,20.82755,,,,
Cherry Hill,voted,34.9,,53.071672,,26.569377,,44.539249,,31.143498,,,
Cherry Hill,walked,,1.940299,2.0,3.538854,4.57467,4.580777,6.386485,6.167763,4.193548,3.035275,,
Cherry Hill,wlksc,,38.056075,,,,,,46.673,,,,
